Name,Gender,Age,Social Media Use Timings,Social Media Platform,City,State,Purchase Platform,Purchase Date,Clothing,Cosmetics,Laptops,TV,Groceries,Books,Fitness Equipment,Mobiles,Jewelry,Furniture,Shoes,Bags,Watches,Kitchenware,Gardening Tools,Pet Supplies,Sports Equipment,Toys,Stationery,Automobile Accessories,Home Decor,Electronics,Music Instruments,Cameras,Gaming Consoles,Smartwatches,Health Supplements,Travel Accessories,Art Supplies,Lighting Fixtures
Aarav Jain,Female,42,20:00 - 21:00,Twitter,Lucknow,Karnataka,Local Market,16-03-2023,11527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,0,0,0,0,0,0,10000,0,10000,0
Arjun Patel,Male,55,22:00 - 23:00,Instagram,Ahmedabad,Uttar Pradesh,Myntra,22-04-2022,0,0,0,0,11056,0,0,0,0,0,0,0,11804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vivaan Singh,Female,56,15:00 - 22:00,Instagram,Jaipur,Rajasthan,Ajio,03-07-2021,0,0,2551,0,0,0,0,0,0,0,0,12674,0,0,0,18064,8299,17090,0,2340,1597,0,0,0,0,0,0,0,10000,0
Vivaan Mishra,Female,47,9:00 - 12:00,Google,Ahmedabad,Telangana,Flipkart,19-03-2023,0,0,6761,0,0,0,0,0,0,0,0,0,0,16343,0,11492,0,0,0,0,0,14395,0,3966,10000,11495,10000,0,0,0
Aditya Chauhan,Male,41,19:00 - 21:00,LinkedIn,Delhi,Karnataka,Ajio,09-07-2021,0,0,0,986,0,3685,1950,0,0,0,3864,0,0,0,0,0,0,7390,0,0,9476,0,1971,0,0,0,10000,0,10000,0
Aditya Patel,Female,21,16:00 - 18:00,Instagram,Kolkata,Gujarat,Myntra,13-08-2023,0,2318,0,0,0,4559,0,0,0,9056,19567,0,0,17539,4705,0,0,0,0,0,9996,0,0,0,0,0,0,0,10000,0
Aarav Chauhan,Male,56,20:00 - 24:00,Twitter,Pune,Tamil Nadu,Local Market,21-06-2020,3444,0,17421,0,14171,0,0,14078,0,0,0,0,15006,6329,0,0,0,0,0,0,12365,0,2867,0,0,14528,0,962,0,0
Ananya Gupta,Female,47,18:00 - 21:00,Snapchat,Delhi,Rajasthan,Flipkart,17-06-2021,0,0,3826,0,0,0,0,0,0,0,687,7580,0,0,14906,0,16051,0,0,0,0,10071,0,0,0,0,0,0,0,0
Nisha Mishra,Male,36,16:00 - 19:00,Facebook,Pune,Telangana,Local Market,23-03-2022,1572,0,0,0,18058,0,0,0,18756,0,0,0,0,0,0,0,0,0,0,0,0,16651,0,0,0,9630,2577,0,10000,0
Vivaan Verma,Male,69,7:00 - 17:00,Snapchat,Mumbai,Telangana,Ajio,12-02-2023,0,0,0,0,0,0,0,0,10081,0,19117,0,0,0,0,0,0,0,0,0,0,0,0,5913,0,0,814,0,0,0
